input_dec,input_hex,dut_ceil_log2
1048243,0x000ffeb3,20
1048446,0x000fff7e,20
1048574,0x000ffffe,20
1048575,0x000fffff,20
1048576,0x00100000,20
1048577,0x00100001,21
1048578,0x00100002,21
1048605,0x0010001d,21
1048655,0x0010004f,21
1048685,0x0010006d,21
1048980,0x00100194,21
1048987,0x0010019b,21
1049027,0x001001c3,21
1049385,0x00100329,21
1049485,0x0010038d,21
1049506,0x001003a2,21
2096277,0x001ffc95,21
2096345,0x001ffcd9,21
2096371,0x001ffcf3,21
2096478,0x001ffd5e,21
2096982,0x001fff56,21
2097150,0x001ffffe,21
2097151,0x001fffff,21
2097152,0x00200000,21
2097153,0x00200001,22
2097154,0x00200002,22
2097164,0x0020000c,22
2097275,0x0020007b,22
2097432,0x00200118,22
2097853,0x002002bd,22
2098000,0x00200350,22
2098036,0x00200374,22
4193317,0x003ffc25,22
4193381,0x003ffc65,22
4193634,0x003ffd62,22
4194102,0x003fff36,22
4194302,0x003ffffe,22
4194303,0x003fffff,22
4194304,0x00400000,22
4194305,0x00400001,23
4194306,0x00400002,23
4194694,0x00400186,23
8387851,0x007ffd0b,23
8388606,0x007ffffe,23
8388607,0x007fffff,23
8388608,0x00800000,23
8388609,0x00800001,24
8388610,0x00800002,24
8388726,0x00800076,24
8388804,0x008000c4,24
8389007,0x0080018f,24
8389071,0x008001cf,24
8389533,0x0080039d,24
11167026,0x00aa6532,24
16776420,0x00fffce4,24
16776550,0x00fffd66,24
16776588,0x00fffd8c,24
16776714,0x00fffe0a,24
16777026,0x00ffff42,24
16777214,0x00fffffe,24
16777215,0x00ffffff,24
16777216,0x01000000,24
16777217,0x01000001,25
16777218,0x01000002,25
16777648,0x010001b0,25
16777693,0x010001dd,25
16777737,0x01000209,25
16777788,0x0100023c,25
16778046,0x0100033e,25
27568690,0x01a4aa32,25
30945099,0x01d82f4b,25
32534173,0x01f06e9d,25
33553593,0x01fffcb9,25
33553764,0x01fffd64,25
33553852,0x01fffdbc,25
33554430,0x01fffffe,25
33554431,0x01ffffff,25
33554432,0x02000000,25
33554433,0x02000001,26
33554434,0x02000002,26
33554508,0x0200004c,26
33554522,0x0200005a,26
33554655,0x020000df,26
33554970,0x0200021a,26
33555029,0x02000255,26
35350209,0x021b66c1,26
41153926,0x0273f586,26
67107885,0x03fffc2d,26
67108345,0x03fffdf9,26
67108621,0x03ffff0d,26
67108814,0x03ffffce,26
67108862,0x03fffffe,26
67108863,0x03ffffff,26
67108864,0x04000000,26
67108865,0x04000001,27
67108866,0x04000002,27
67108957,0x0400005d,27
67109713,0x04000351,27
73710019,0x0464b9c3,27
89839136,0x055ad620,27
101420039,0x060b8c07,27
129724100,0x07bb6ec4,27
134216863,0x07fffc9f,27
134217003,0x07fffd2b,27
134217595,0x07ffff7b,27
134217726,0x07fffffe,27
134217727,0x07ffffff,27
134217728,0x08000000,27
134217729,0x08000001,28
134217730,0x08000002,28
134217858,0x08000082,28
134218098,0x08000172,28
147099528,0x08c48f88,28
162414445,0x09ae3f6d,28
199733954,0x0be7b2c2,28
200410031,0x0bf203af,28
201640822,0x0c04cb76,28
202999836,0x0c19881c,28
230878659,0x0dc2edc3,28
236233815,0x0e14a457,28
240397563,0x0e542cfb,28
247836269,0x0ec5ae6d,28
248925586,0x0ed64d92,28
249040754,0x0ed80f72,28
252645135,0x0f0f0f0f,28
268434554,0x0ffffc7a,28
268434633,0x0ffffcc9,28
268434653,0x0ffffcdd,28
268434821,0x0ffffd85,28
268434910,0x0ffffdde,28
268435441,0x0ffffff1,28
268435454,0x0ffffffe,28
268435455,0x0fffffff,28
268435456,0x10000000,28
268435457,0x10000001,29
268435458,0x10000002,29
268435477,0x10000015,29
268435587,0x10000083,29
268435594,0x1000008a,29
268435808,0x10000160,29
268436294,0x10000346,29
279714515,0x10ac1ad3,29
285207278,0x10ffeaee,29
305419896,0x12345678,29
306751026,0x1248a632,29
327123993,0x137f8419,29
336797125,0x14131dc5,29
343813224,0x147e2c68,29
345939132,0x149e9cbc,29
348676196,0x14c86064,29
372795941,0x16386a25,29
378854407,0x1694dc07,29
383009526,0x16d442f6,29
388925952,0x172e8a00,29
392077382,0x175ea046,29
408224400,0x18550290,29
438721350,0x1a265b46,29
449053536,0x1ac40360,29
453411622,0x1b068326,29
456518453,0x1b35eb35,29
485561384,0x1cf11428,29
486124717,0x1cf9acad,29
488477204,0x1d1d9214,29
498133158,0x1db0e8a6,29
533581407,0x1fcdce5f,29
536870141,0x1ffffcfd,29
536870221,0x1ffffd4d,29
536870242,0x1ffffd62,29
536870603,0x1ffffecb,29
536870910,0x1ffffffe,29
536870911,0x1fffffff,29
536870912,0x20000000,29
536870913,0x20000001,30
536870914,0x20000002,30
536871808,0x20000380,30
536871900,0x200003dc,30
540595614,0x2038d59e,30
552449870,0x20edb74e,30
553052662,0x20f6e9f6,30
556845193,0x2130c889,30
568804693,0x21e74555,30
577177050,0x226705da,30
579244725,0x228692b5,30
589623493,0x2324f0c5,30
590833011,0x23376573,30
619820637,0x24f1b65d,30
622306258,0x2517a3d2,30
634705792,0x25d4d780,30
635447187,0x25e02793,30
646527133,0x2689389d,30
652194724,0x26dfb3a4,30
664618788,0x279d4724,30
695056935,0x296dba27,30
740806360,0x2c27ced8,30
763263279,0x2d7e792f,30
782177087,0x2e9f133f,30
797600962,0x2f8a6cc2,30
800007622,0x2faf25c6,30
800561050,0x2fb7979a,30
828871333,0x316792a5,30
858993459,0x33333333,30
862826416,0x336dafb0,30
864384956,0x338577bc,30
877324987,0x344aeabb,30
879606950,0x346dbca6,30
887116052,0x34e05114,30
916457039,0x36a0064f,30
922355068,0x36fa057c,30
